Code,Description,Quantity,"Unit Price","Net Price",VAT,"Gross Price"
72447,"Artyom Black Card 180gsm A4 100 Pack",1,2.99,2.99,0.60,3.59
71055,"Artyom Vivid Card A4 Assorted 180gsm 200 Pack",1,5.8,5.8,1.16,6.96
79275,"Artyom Pastel Card A4 Assorted 180gsm 200 Pack",1,4.75,4.75,0.95,5.70
36726,"Sticky Notes Assorted Neon and Pastel 76mm x 76mm 12 Pack",1,4.26,4.26,0.85,5.11
74338,"A4 Metallic Card 20 Sheets - Colour: Silver",2,2.88,5.76,1.15,6.91
57225,"Writy Golden Adhesive Tape 24mm x 66m 6 Pack",1,1.45,1.45,0.29,1.74
